iter	Passed	Remaining
437	1374	1764
438	1377	1760
439	1380	1756
440	1382	1752
441	1384	1748
442	1386	1743
443	1391	1742
444	1394	1739
445	1397	1735
446	1399	1731
447	1401	1726
448	1405	1724
449	1408	1721
450	1411	1718
451	1414	1715
452	1416	1710
453	1418	1706
454	1422	1704
455	1425	1700
456	1428	1697
457	1430	1692
458	1432	1688
459	1436	1686
460	1439	1682
461	1440	1677
462	1442	1673
463	1444	1668
464	1446	1664
465	1450	1661
466	1452	1657
467	1454	1653
468	1456	1649
469	1458	1645
470	1460	1640
471	1462	1635
472	1466	1634
473	1468	1629
474	1470	1624
475	1471	1620
476	1473	1615
477	1475	1611
478	1477	1606
479	1478	1601
480	1481	1599
481	1483	1594
482	1485	1589
483	1487	1585
484	1488	1580
485	1490	1576
486	1492	1572
487	1496	1570
488	1498	1565
489	1500	1561
490	1501	1556
491	1503	1552
492	1505	1547
493	1506	1543
494	1508	1539
495	1512	1537
496	1514	1532
497	1516	1528
498	1517	1523
499	1519	1519
500	1521	1515
501	1523	1511
502	1527	1509
503	1529	1505
504	1531	1500
505	1533	1496
506	1535	1493
507	1537	1488
508	1538	1484
509	1542	1481
510	1544	1477
511	1545	1473
512	1548	1469
513	1550	1465
514	1552	1461
515	1553	1457
516	1557	1455
517	1559	1451
518	1561	1447
519	1565	1444
520	1567	1441
521	1572	1440
522	1574	1436
523	1576	1432
524	1578	1428
525	1580	1424
526	1582	1420
527	1583	1415
528	1585	1411
529	1588	1408
530	1590	1404
531	1592	1400
532	1593	1396
533	1595	1392
534	1597	1388
535	1598	1384
536	1602	1381
537	1604	1377
538	1606	1373
539	1608	1369
540	1609	1365
541	1611	1361
542	1613	1357
543	1614	1353
544	1618	1351
545	1622	1348
546	1624	1345
547	1627	1342
548	1629	1338
549	1633	1336
550	1635	1332
551	1637	1328
552	1638	1324
553	1640	1320
554	1642	1316
555	1644	1312
556	1645	1308
557	1649	1306
558	1651	1302
559	1652	1298
560	1654	1294
561	1656	1291
562	1658	1287
563	1659	1283
564	1661	1279
565	1665	1276
566	1666	1272
567	1668	1268
568	1670	1265
569	1672	1261
570	1673	1257
571	1675	1253
572	1679	1251
573	1681	1247
574	1683	1244
575	1684	1240
576	1686	1236
577	1688	1232
578	1689	1228
579	1691	1224
580	1695	1222
581	1697	1218
582	1699	1215
583	1701	1212
584	1703	1208
585	1705	1205
586	1708	1202
587	1711	1199
588	1713	1195
589	1715	1192
590	1717	1188
591	1719	1185
592	1721	1181
593	1727	1180
594	1729	1177
595	1732	1174
596	1734	1170
597	1736	1167
598	1741	1165
599	1743	1162
600	1747	1160
601	1750	1157
602	1752	1153
603	1756	1151
604	1758	1148
605	1761	1145
606	1763	1141
607	1764	1137
608	1766	1134
609	1768	1130
610	1771	1128
611	1773	1124
612	1775	1121
613	1777	1117
614	1779	1113
615	1780	1110
616	1782	1106
617	1787	1104
618	1788	1101
619	1790	1097
620	1792	1093
621	1793	1090
622	1795	1086
623	1797	1083
624	1801	1081
625	1803	1077
626	1805	1073
627	1807	1070
628	1808	1066
629	1810	1063
630	1812	1059
631	1816	1057
632	1819	1054
633	1821	1051
634	1823	1048
635	1826	1045
636	1827	1041
637	1832	1039
638	1834	1036
639	1836	1032
640	1838	1029
641	1842	1027
642	1848	1026
643	1851	1023
644	1853	1020
645	1855	1016
646	1857	1013
647	1861	1011
648	1864	1008
649	1866	1004
650	1868	1001
651	1870	998
652	1873	995
653	1876	992
654	1879	989
655	1881	986
656	1883	983
657	1885	980
658	1888	977
659	1891	974
660	1894	971
661	1896	968
662	1898	965
663	1900	961
664	1902	958
665	1904	955
666	1908	952
667	1910	949
668	1912	946
669	1914	942
670	1916	939
671	1917	936
672	1919	932
673	1923	930
674	1925	927
675	1927	923
676	1930	921
677	1934	918
678	1938	916
679	1940	913
680	1942	909
681	1944	906
682	1946	903
683	1948	900
684	1950	896
685	1953	894
686	1955	891
687	1957	887
688	1959	884
689	1961	881
690	1963	877
691	1965	874
